filename,width,height,class,xmin,ymin,xmax,ymax
0001.jpg,240,145,pistol,3,1,128,100
0001.jpg,240,145,pistol,123,47,238,145
0002.jpg,259,194,pistol,21,78,146,163
0002.jpg,259,194,pistol,84,31,221,111
0003.jpg,1300,866,pistol,471,207,613,359
0004.jpg,600,431,pistol,30,157,171,246
0005.jpg,1300,866,pistol,358,184,647,604
0005.jpg,1300,866,pistol,621,10,817,361
0006.jpg,1114,741,pistol,274,203,949,616
0007.jpg,1300,1300,pistol,738,590,1098,1066
0008.jpg,866,1300,pistol,586,359,860,553
0009.jpg,866,1300,pistol,147,183,327,475
0010.jpg,1300,913,pistol,409,95,697,352
0011.jpg,866,1300,pistol,251,414,417,658
0011.jpg,866,1300,pistol,269,38,491,202
0012.jpg,315,450,pistol,27,169,84,242
0013.jpg,1300,906,pistol,202,265,793,697
0014.jpg,112,168,pistol,71,56,91,111
0015.jpg,1300,866,pistol,179,135,1084,815
0016.jpg,340,450,pistol,260,21,270,61
0017.jpg,1300,870,pistol,858,356,1125,635
0018.jpg,288,450,pistol,134,163,164,244
0019.jpg,480,480,pistol,268,171,355,334
0020.jpg,1300,877,pistol,754,338,1069,598
0021.jpg,450,299,pistol,160,110,190,175
0022.jpg,127,168,pistol,38,68,56,105
0023.jpg,1300,866,pistol,301,54,1090,448
0024.jpg,662,440,pistol,290,74,634,283
0025.jpg,528,440,pistol,243,81,293,112
0026.jpg,450,424,pistol,38,10,156,240
0027.jpg,866,1300,pistol,42,382,168,660
0027.jpg,866,1300,pistol,708,412,820,684
0028.jpg,1300,866,pistol,169,180,992,744
0029.jpg,866,1300,pistol,90,270,230,364
0030.jpg,866,1300,pistol,110,386,232,528
0031.jpg,1500,1121,pistol,722,302,1201,840
0032.jpg,919,1300,pistol,88,404,260,512
0033.jpg,967,1300,pistol,160,330,738,1238
0034.jpg,1300,1064,pistol,255,341,547,538
0035.jpg,1300,1097,pistol,562,345,725,718
0036.jpg,450,380,pistol,312,106,372,217
0037.jpg,301,450,pistol,180,110,293,234
0038.jpg,168,124,pistol,9,25,69,103
0038.jpg,168,124,pistol,95,27,160,101
0039.jpg,135,168,pistol,73,24,105,99
0040.jpg,168,105,pistol,132,26,145,55
0041.jpg,1500,1124,pistol,1126,247,1287,458
0042.jpg,660,440,pistol,160,99,321,193
0043.jpg,156,235,pistol,1,60,84,217
0044.jpg,1300,863,pistol,847,389,1088,757
0045.jpg,1300,912,pistol,605,180,1190,772
0046.jpg,450,332,pistol,181,62,449,331
0047.jpg,866,1300,pistol,303,124,803,853
0048.jpg,450,328,pistol,158,21,391,189
0049.jpg,1300,866,pistol,645,143,1158,830
0050.jpg,299,450,pistol,70,156,210,357
0051.jpg,1300,866,pistol,758,253,1164,610
0052.jpg,450,299,pistol,65,171,182,228
0052.jpg,450,299,pistol,264,164,379,239
0053.jpg,113,168,pistol,25,56,113,111
0054.jpg,800,1200,pistol,569,587,681,709
0055.jpg,600,391,pistol,315,139,370,224
0056.jpg,2314,1467,pistol,1689,914,1972,1011
0056.jpg,2314,1467,pistol,1720,1011,2024,1121
0056.jpg,2314,1467,pistol,1803,1114,2172,1252
0056.jpg,2314,1467,pistol,2024,924,2238,1007
0056.jpg,2314,1467,pistol,2089,1004,2310,1093
0057.jpg,645,437,pistol,172,35,424,325
0058.jpg,1300,866,pistol,84,92,649,488
0059.jpg,256,192,pistol,26,22,241,171
0060.jpg,600,338,pistol,185,100,598,301
0061.jpg,1300,866,pistol,492,51,900,569
0062.jpg,1300,1060,pistol,107,593,756,870
